COL 1: TARGET
COL 2: RESPONSE
COL 3: REACTION TIME (SECONDS)

----------BLOCK 1----------
3	2	1.93
1	2	0.09
4	2	0.11
2	2	0.11
1	2	0.11
3	2	0.11
2	2	0.11
4	2	0.10
3	2	0.11
1	2	0.12
3	2	0.11
1	2	0.11
4	2	0.11
2	2	0.13
1	2	0.13
3	2	0.11
2	2	0.12
4	2	0.10
3	2	0.12
1	2	0.13
3	2	0.10
1	2	0.12
4	2	0.25
2	2	0.95
1	2	0.09
3	2	0.09
2	2	0.12
4	2	0.12
3	2	0.09
1	2	0.21
3	2	0.06
1	2	0.18
4	2	0.07
2	2	0.08
1	2	0.06
3	2	0.06
2	2	0.06
4	2	0.09
3	2	0.07
1	2	0.07
3	2	0.10
1	2	0.25
4	2	0.09
2	2	0.10
1	2	0.12
3	2	0.11
2	2	0.12
4	2	0.13
3	2	0.10
1	2	0.11
3	2	0.12
1	2	0.09
4	2	0.10
2	2	0.13
1	2	0.11
3	2	0.17
2	2	0.13
4	2	0.11
3	2	0.07
1	2	0.11
3	2	0.25
1	2	0.07
4	2	0.08
2	2	0.10
1	2	0.11
3	2	0.11
2	2	0.11
4	2	0.11
3	2	0.07
1	2	0.10
3	2	0.11
1	2	0.08
4	2	0.13
2	2	0.09
1	2	0.11
3	2	0.11
2	2	0.10
4	2	0.10
3	2	0.11
1	2	0.66
3	2	0.12
1	2	0.10
4	2	0.11
2	2	0.38
1	2	0.10
3	2	0.11
2	2	0.14
4	2	0.14
3	2	0.10
1	2	0.13
3	2	0.13
1	2	0.15
4	2	0.12
2	2	0.07
1	2	0.11
3	2	0.13
2	2	0.11
4	2	0.14
3	2	0.12
1	2	0.12
3	2	0.12
1	2	0.12
4	2	0.11
2	2	0.12
1	2	0.12
3	2	0.12
2	2	0.51
4	2	0.06
3	2	0.06
1	2	0.06
3	2	0.06
1	2	0.04
4	2	0.07
2	2	0.03
1	2	0.09
3	2	0.04
2	2	0.07
4	2	0.04
3	2	0.07
1	2	0.03

----------BLOCK 2----------
3	1	1.01
1	1	0.09
4	1	0.14
2	1	0.12
1	1	0.11
3	1	0.14
2	1	0.61
4	1	0.02
3	1	0.07
1	1	0.04
3	1	0.07
1	1	0.02
4	1	0.09
2	1	0.02
1	1	0.09
3	1	0.02
2	1	0.08
4	1	0.02
3	1	0.09
1	1	0.03
3	1	0.08
1	1	0.16
4	1	0.03
2	1	0.08
1	1	0.02
3	1	0.08
2	1	0.03
4	1	0.08
3	1	0.02
1	1	0.09
3	1	0.02
1	1	0.09
4	1	0.03
2	1	0.09
1	1	0.01
3	1	0.10
2	1	0.00
4	1	0.11
3	1	0.00
1	1	0.10
3	1	0.02
1	1	0.09
4	1	0.00
2	1	0.13
1	1	0.14
3	1	0.14
2	1	0.16
4	1	0.12
3	1	0.15
1	1	0.14
3	1	0.32
1	1	0.12
4	1	0.00
2	1	0.29
1	1	0.16
3	1	0.13
2	1	0.13
4	1	0.12
3	1	0.25
1	1	0.09
3	1	0.11
1	1	0.12
4	1	0.11
2	1	0.14
1	1	0.11
3	1	0.11
2	1	0.20
4	1	0.11
3	1	0.10
1	1	0.11
3	1	0.12
1	1	0.11
4	1	0.11
2	1	0.10
1	1	0.10
3	1	0.12
2	1	0.11
4	1	0.11
3	1	0.10
1	1	0.11
3	1	0.10
1	1	0.11
4	1	0.09
2	1	0.11
1	1	0.38
3	1	0.09
2	1	0.08
4	1	0.02
3	1	0.08
1	1	0.03
3	1	0.07
1	1	0.04
4	1	0.08
2	1	0.01
1	1	0.13
3	1	0.12
2	1	0.14
4	1	0.15
3	1	0.12
1	1	0.13
3	1	0.00
1	1	0.09
4	1	0.14
2	1	0.02
1	1	0.08
3	1	0.14
2	1	0.01
4	1	0.09
3	1	0.03
1	1	0.09
3	1	0.01
1	1	0.10
4	1	0.01
2	1	0.11
1	1	0.01
3	1	0.11
2	1	0.01
4	1	0.11
3	1	0.00
1	1	0.10

----------BLOCK 3----------
3	3	1.06
1	3	0.12
4	3	0.14
2	3	0.12
1	3	0.14
3	3	0.14
2	3	0.11
4	3	0.11
3	3	0.10
1	3	0.13
3	3	0.11
1	3	0.51
4	3	0.07
2	3	0.04
1	3	0.06
3	3	0.05
2	3	0.06
4	3	0.04
3	3	0.06
1	3	0.06
3	3	0.15
1	3	0.09
4	3	0.04
2	3	0.15
1	3	0.04
3	3	0.07
2	3	0.05
4	3	0.07
3	3	0.04
1	3	0.08
3	3	0.06
1	3	0.04
4	3	0.08
2	3	0.04
1	3	0.15
3	3	0.07
2	3	0.05
4	3	0.08
3	3	0.05
1	3	0.07
3	3	0.06
1	3	0.05
4	3	0.05
2	3	0.15
1	3	0.06
3	3	0.03
2	3	0.07
4	3	0.04
3	3	0.07
1	3	0.03
3	3	0.07
1	3	0.05
4	3	0.07
2	3	0.03
1	3	0.09
3	3	0.04
2	3	0.07
4	3	0.04
3	3	0.07
1	3	0.02
3	3	0.10
1	3	0.03
4	3	0.09
2	3	0.02
1	3	0.09
3	3	0.03
2	3	0.08
4	3	0.01
3	3	0.10
1	3	0.05
3	3	0.07
1	3	0.02
4	3	0.10
2	3	0.04
1	3	0.07
3	3	0.02
2	3	0.15
4	3	0.09
3	3	0.03
1	3	0.10
3	3	0.03
1	3	0.09
4	3	0.04
2	3	0.08
1	3	0.01
3	3	0.10
2	3	0.03
4	3	0.08
3	3	0.02
1	3	0.08
3	3	0.03
1	3	0.09
4	3	0.03
2	3	0.09
1	3	0.04
3	3	0.07
2	3	0.01
4	3	0.11
3	3	0.15
1	3	0.03
3	3	0.09
1	3	0.02
4	3	0.15
2	3	0.15
1	3	0.16
3	3	0.10
2	3	0.00
4	3	0.12
3	3	0.00
1	3	0.11
3	3	0.16
1	3	0.02
4	3	0.10
2	3	0.17
1	3	0.03
3	3	0.09
2	3	0.02
4	3	0.11
3	3	0.03
1	3	0.10

----------BLOCK 4----------
3	2	2.92
1	2	0.08
4	2	0.11
2	2	0.12
1	2	0.10
3	2	0.11
2	2	0.12
4	2	0.12
3	2	0.13
1	2	0.12
3	2	0.11
1	2	0.12
4	2	0.10
2	2	0.11
1	2	0.08
3	2	0.05
2	2	0.10
4	2	0.13
3	2	0.56
1	2	0.10
3	2	0.11
1	2	0.11
4	2	0.08
2	2	0.08
1	2	0.11
3	2	0.09
2	2	0.08
4	2	0.08
3	2	0.08
1	2	0.21
3	2	0.11
1	2	0.09
4	2	0.10
2	2	0.07
1	2	0.05
3	2	0.16
2	2	0.08
4	2	0.10
3	2	0.08
1	2	0.08
3	2	0.07
1	2	0.09
4	2	0.07
